S/N 	 Start (s) 	 Note
1	0	1000Hz
2	0.2	1000Hz
3	0.4	1000Hz
4	0.6	1000Hz
5	0.8	1000Hz
6	1	3000Hz
7	1.4	1000Hz
8	1.6	1000Hz
9	1.8	1000Hz
10	2	3000Hz
11	2.4	1000Hz
12	2.6	1000Hz
13	2.8	1000Hz
14	3	1000Hz
15	3.2	3000Hz
16	3.6	3000Hz
17	4	3000Hz
18	4.2	1000Hz
19	4.4	3000Hz
20	4.8	1000Hz
21	5	1000Hz
22	5.2	1000Hz
23	5.4	1000Hz
24	5.6	1000Hz
25	5.8	3000Hz
26	6.2	1000Hz
27	6.4	1000Hz
28	6.6	1000Hz
29	6.8	3000Hz
30	7	3000Hz
31	7.2	1000Hz
32	7.4	3000Hz
33	7.8	1000Hz
34	8	1000Hz
35	8.2	1000Hz
36	8.4	1000Hz
37	8.6	1000Hz
38	8.8	1000Hz
39	9	1000Hz
40	9.2	1000Hz
41	9.4	1000Hz
42	9.6	1000Hz
43	9.8	1000Hz
44	10	1000Hz
45	10.2	1000Hz
46	10.4	1000Hz
47	10.6	1000Hz
48	10.8	1000Hz
49	11	1000Hz
50	11.2	3000Hz
51	11.6	1000Hz
52	11.8	1000Hz
53	12	1000Hz
54	12.2	1000Hz
55	12.4	1000Hz
56	12.6	1000Hz
57	12.8	1000Hz
58	13	1000Hz
59	13.2	1000Hz
60	13.4	3000Hz
61	13.8	1000Hz
62	14	3000Hz
63	14.2	1000Hz
64	14.4	1000Hz
65	14.6	1000Hz
66	14.8	1000Hz
67	15	1000Hz
68	15.2	3000Hz
69	15.6	1000Hz
70	15.8	1000Hz
71	16	1000Hz
72	16.2	3000Hz
73	16.6	3000Hz
74	16.8	3000Hz
75	17.2	3000Hz
76	17.6	1000Hz
77	17.8	3000Hz
78	18.2	3000Hz
79	18.4	1000Hz
80	18.6	1000Hz
81	18.8	1000Hz
82	19	1000Hz
83	19.2	1000Hz
84	19.4	3000Hz
85	19.8	1000Hz
86	20	1000Hz
87	20.2	1000Hz
88	20.4	1000Hz
89	20.6	1000Hz
90	20.8	1000Hz
91	21	1000Hz
92	21.2	1000Hz
93	21.4	3000Hz
94	21.8	1000Hz
95	22	3000Hz
96	22.2	1000Hz
97	22.4	1000Hz
98	22.6	1000Hz
99	22.8	1000Hz
100	23	1000Hz
101	23.2	1000Hz
102	23.4	1000Hz
103	23.6	1000Hz
104	23.8	1000Hz
105	24	1000Hz
106	24.2	1000Hz
107	24.4	3000Hz
108	24.6	1000Hz
109	24.8	3000Hz
110	25.2	1000Hz
111	25.4	1000Hz
112	25.6	1000Hz
113	25.8	1000Hz
114	26	1000Hz
115	26.2	3000Hz
116	26.4	3000Hz
117	26.8	1000Hz
118	27	1000Hz
119	27.2	1000Hz
120	27.4	1000Hz
121	27.6	1000Hz
122	27.8	1000Hz
123	28	1000Hz
124	28.2	3000Hz
125	28.4	1000Hz
126	28.6	1000Hz
127	28.8	1000Hz
128	29	3000Hz
129	29.2	1000Hz
130	29.4	3000Hz
131	29.6	1000Hz
132	29.8	1000Hz
133	30	3000Hz
134	30.2	3000Hz
135	30.6	3000Hz
136	31	1000Hz
137	31.2	1000Hz
138	31.4	1000Hz
139	31.6	1000Hz
140	31.8	1000Hz
141	32	1000Hz
142	32.2	1000Hz
143	32.4	1000Hz
144	32.6	1000Hz
145	32.8	3000Hz
146	33.2	1000Hz
147	33.4	1000Hz
148	33.6	1000Hz
149	33.8	1000Hz
150	34	1000Hz
151	34.2	1000Hz
152	34.4	1000Hz
153	34.6	1000Hz
154	34.8	3000Hz
155	35	1000Hz
156	35.2	1000Hz
157	35.4	3000Hz
158	35.8	1000Hz
159	36	1000Hz
160	36.2	1000Hz
161	36.4	1000Hz
162	36.6	1000Hz
163	36.8	1000Hz
164	37	1000Hz
165	37.2	3000Hz
166	37.6	1000Hz
167	37.8	1000Hz
168	38	1000Hz
169	38.2	3000Hz
170	38.4	1000Hz
171	38.6	1000Hz
172	38.8	1000Hz
173	39	3000Hz
174	39.2	1000Hz
175	39.4	1000Hz
176	39.6	3000Hz
177	39.8	1000Hz
178	40	1000Hz
179	40.2	1000Hz
180	40.4	1000Hz
181	40.6	3000Hz
182	41	1000Hz
183	41.2	1000Hz
184	41.4	1000Hz
185	41.6	3000Hz
186	41.8	1000Hz
187	42	1000Hz
188	42.2	3000Hz
189	42.4	1000Hz
190	42.6	1000Hz
191	42.8	3000Hz
192	43	1000Hz
193	43.2	1000Hz
194	43.4	1000Hz
195	43.6	1000Hz
196	43.8	1000Hz
197	44	1000Hz
198	44.2	1000Hz
199	44.4	1000Hz
200	44.6	1000Hz
201	44.8	1000Hz
202	45	1000Hz
203	45.2	1000Hz
204	45.4	1000Hz
205	45.6	1000Hz
206	45.8	1000Hz
207	46	1000Hz
208	46.2	3000Hz
209	46.6	1000Hz
210	46.8	1000Hz
211	47	1000Hz
212	47.2	3000Hz
213	47.6	1000Hz
214	47.8	1000Hz
215	48	1000Hz
216	48.2	1000Hz
217	48.4	1000Hz
218	48.6	3000Hz
219	49	1000Hz
220	49.2	1000Hz
221	49.4	3000Hz
222	49.8	1000Hz
223	50	1000Hz
224	50.2	1000Hz
225	50.4	1000Hz
226	50.6	3000Hz
227	51	1000Hz
228	51.2	1000Hz
229	51.4	1000Hz
230	51.6	1000Hz
231	51.8	1000Hz
232	52	1000Hz
233	52.2	3000Hz
234	52.6	1000Hz
235	52.8	1000Hz
236	53	1000Hz
237	53.2	1000Hz
238	53.4	1000Hz
239	53.6	1000Hz
240	53.8	1000Hz
241	54	1000Hz
242	54.2	1000Hz
243	54.4	1000Hz
244	54.6	3000Hz
245	54.8	1000Hz
246	55	1000Hz
247	55.2	1000Hz
248	55.4	1000Hz
249	55.6	3000Hz
250	56	3000Hz
251	56.4	3000Hz
252	56.6	1000Hz
253	56.8	3000Hz
254	57.2	3000Hz
255	57.4	1000Hz
256	57.6	1000Hz
257	57.8	1000Hz
258	58	1000Hz
259	58.2	1000Hz
260	58.4	1000Hz
261	58.6	1000Hz
262	58.8	1000Hz
263	59	1000Hz
264	59.2	1000Hz
265	59.4	1000Hz
266	59.6	1000Hz
267	59.8	1000Hz
268	60	3000Hz
269	60.2	1000Hz
270	60.4	1000Hz
271	60.6	1000Hz
272	60.8	3000Hz
273	61.2	1000Hz
274	61.4	1000Hz
275	61.6	1000Hz
276	61.8	1000Hz
277	62	1000Hz
278	62.2	1000Hz
279	62.4	1000Hz
280	62.6	1000Hz
281	62.8	1000Hz
282	63	1000Hz
283	63.2	1000Hz
284	63.4	1000Hz
285	63.6	1000Hz
286	63.8	3000Hz
287	64	3000Hz
288	64.4	1000Hz
289	64.6	3000Hz
290	65	3000Hz
291	65.2	1000Hz
292	65.4	1000Hz
293	65.6	1000Hz
294	65.8	1000Hz
295	66	1000Hz
296	66.2	1000Hz
297	66.4	1000Hz
298	66.6	1000Hz
299	66.8	1000Hz
300	67	1000Hz
301	67.2	1000Hz
302	67.4	1000Hz
303	67.6	1000Hz
304	67.8	1000Hz
305	68	1000Hz
306	68.2	1000Hz
307	68.4	1000Hz
308	68.6	1000Hz
