S/N 	 Start (s) 	 Note
1	0		C
2	0.2		B
3	0.3		A
4	0.4		A
5	0.5		A
6	0.6		A
7	0.7		C
8	0.9		A
9	1		A
10	1.1		A
11	1.2		A
12	1.3		A
13	1.4		C
14	1.6		A
15	1.7		A
16	1.8		A
17	1.9		A
18	2		A
19	2.1		A
20	2.2		A
21	2.3		A
22	2.4		A
23	2.5		A
24	2.6		A
25	2.7		A
26	2.8		A
27	2.9		C
28	3.1		A
29	3.2		A
30	3.3		A
31	3.4		A
32	3.5		A
33	3.6		A
34	3.7		A
35	3.8		C
36	4		A
37	4.1		A
38	4.2		A
39	4.3		A
40	4.4		A
41	4.5		A
42	4.6		A
43	4.7		A
44	4.8		A
45	4.9		A
46	5		A
47	5.1		C
48	5.3		A
49	5.4		A
50	5.5		A
51	5.6		A
52	5.7		A
53	5.8		C
54	6		A
55	6.1		A
56	6.2		A
57	6.3		C
58	6.5		A
59	6.6		C
60	6.8		C
61	7		A
62	7.1		A
63	7.2		A
64	7.3		A
65	7.4		A
66	7.5		A
67	7.6		C
68	7.8		A
69	7.9		A
70	8		A
71	8.1		A
72	8.2		A
73	8.3		A
74	8.4		A
75	8.5		A
76	8.6		A
77	8.7		B
78	8.8		A
79	8.9		A
80	9		A
81	9.1		A
82	9.2		C
83	9.4		A
84	9.5		A
85	9.6		A
86	9.7		A
87	9.8		A
88	9.9		C
89	10.1		A
90	10.2		A
91	10.3		A
92	10.4		B
93	10.5		A
94	10.6		C
95	10.8		A
96	10.9		C
97	11.1		A
98	11.2		A
99	11.3		A
100	11.4		A
101	11.5		A
102	11.6		A
103	11.7		A
104	11.8		A
105	11.9		A
106	12		A
107	12.1		C
108	12.3		A
109	12.4		C
110	12.6		C
111	12.8		A
112	12.9		A
113	13		A
114	13.1		C
115	13.3		A
116	13.4		A
117	13.5		B
118	13.6		B
119	13.7		C
120	13.9		A
121	14		C
122	14.2		A
123	14.3		A
124	14.4		A
125	14.5		C
126	14.7		A
127	14.8		A
128	14.9		A
129	15		A
130	15.1		A
131	15.2		A
132	15.3		A
133	15.4		A
134	15.5		A
135	15.6		A
136	15.7		A
137	15.8		A
138	15.9		A
139	16		B
140	16.1		A
141	16.2		A
142	16.3		A
143	16.4		A
144	16.5		A
145	16.6		A
146	16.7		A
147	16.8		A
148	16.9		A
149	17		A
150	17.1		B
151	17.2		A
152	17.3		A
153	17.4		C
154	17.6		A
155	17.7		A
156	17.8		A
157	17.9		A
158	18		A
159	18.1		C
160	18.3		A
161	18.4		A
162	18.5		A
163	18.6		A
164	18.7		A
165	18.8		C
166	19		A
167	19.1		A
168	19.2		A
169	19.3		A
170	19.4		B
171	19.5		A
172	19.6		A
173	19.7		B
174	19.8		A
175	19.9		C
176	20.1		C
177	20.3		A
178	20.4		A
179	20.5		C
180	20.7		B
181	20.8		A
182	20.9		A
183	21		C
184	21.2		A
185	21.3		A
186	21.4		A
187	21.5		A
188	21.6		A
189	21.7		A
190	21.8		A
191	21.9		A
192	22		C
193	22.2		A
194	22.3		A
195	22.4		A
196	22.5		A
197	22.6		A
198	22.7		A
199	22.8		A
200	22.9		A
201	23		A
202	23.1		B
203	23.2		A
204	23.3		A
205	23.4		A
206	23.5		B
207	23.6		C
208	23.8		B
209	23.9		C
210	24.1		A
211	24.2		A
212	24.3		B
213	24.4		A
214	24.5		C
215	24.7		A
216	24.8		A
217	24.9		A
218	25		A
219	25.1		A
220	25.2		C
221	25.4		A
222	25.5		A
223	25.6		A
224	25.7		A
225	25.8		C
226	26		A
227	26.1		A
228	26.2		C
229	26.4		C
230	26.6		A
231	26.7		A
232	26.8		A
233	26.9		C
234	27.1		A
235	27.2		B
236	27.3		A
237	27.4		A
238	27.5		A
239	27.6		A
240	27.7		A
241	27.8		A
242	27.9		A
243	28		A
244	28.1		A
245	28.2		A
246	28.3		A
247	28.4		A
248	28.5		A
249	28.6		A
250	28.7		A
251	28.8		A
252	28.9		A
253	29		A
254	29.1		A
255	29.2		A
256	29.3		C
257	29.5		C
258	29.7		A
259	29.8		C
260	30		A
261	30.1		A
262	30.2		B
263	30.3		B
264	30.4		A
265	30.5		A
266	30.6		A
267	30.7		A
268	30.8		C
269	31		A
270	31.1		A
271	31.2		A
272	31.3		A
273	31.4		A
274	31.5		B
275	31.6		A
276	31.7		A
277	31.8		A
278	31.9		A
279	32		A
280	32.1		A
281	32.2		A
282	32.3		A
283	32.4		A
284	32.5		A
285	32.6		A
286	32.7		A
287	32.8		A
288	32.9		C
289	33.1		B
290	33.2		A
291	33.3		A
292	33.4		A
293	33.5		A
294	33.6		A
295	33.7		A
296	33.8		C
297	34		A
298	34.1		A
299	34.2		A
300	34.3		A
301	34.4		C
302	34.6		A
303	34.7		C
304	34.9		A
305	35		A
306	35.1		A
307	35.2		A
308	35.3		A
309	35.4		A
310	35.5		A
311	35.6		A
312	35.7		A
313	35.8		B
314	35.9		C
315	36.1		A
316	36.2		A
317	36.3		A
318	36.4		A
319	36.5		A
320	36.6		B
321	36.7		A
322	36.8		C
323	37		A
324	37.1		A
325	37.2		A
326	37.3		A
327	37.4		A
328	37.5		A
329	37.6		A
330	37.7		C
331	37.9		C
332	38.1		A
333	38.2		A
334	38.3		A
335	38.4		A
336	38.5		A
337	38.6		A
338	38.7		A
339	38.8		C
340	39		A
341	39.1		A
342	39.2		A
343	39.3		A
344	39.4		A
345	39.5		A
346	39.6		A
347	39.7		A
348	39.8		A
349	39.9		A
350	40		A
351	40.1		A
352	40.2		C
353	40.4		A
354	40.5		A
355	40.6		A
356	40.7		A
357	40.8		C
358	41		A
359	41.1		C
360	41.3		A
361	41.4		A
362	41.5		A
363	41.6		A
364	41.7		A
365	41.8		A
366	41.9		A
367	42		A
368	42.1		A
369	42.2		A
370	42.3		A
371	42.4		A
372	42.5		A
373	42.6		A
374	42.7		A
375	42.8		B
376	42.9		A
377	43		A
378	43.1		A
379	43.2		C
380	43.4		A
381	43.5		A
382	43.6		A
383	43.7		A
384	43.8		A
385	43.9		A
386	44		A
387	44.1		A
388	44.2		A
389	44.3		A
390	44.4		C
391	44.6		A
392	44.7		C
393	44.9		A
394	45		A
395	45.1		A
396	45.2		A
397	45.3		A
398	45.4		A
399	45.5		A
400	45.6		A
401	45.7		C
402	45.9		A
403	46		A
404	46.1		A
405	46.2		A
406	46.3		C
407	46.5		A
408	46.6		A
409	46.7		A
410	46.8		C
411	47		A
412	47.1		A
413	47.2		A
414	47.3		A
415	47.4		A
416	47.5		A
417	47.6		A
418	47.7		A
419	47.8		A
420	47.9		C
421	48.1		C
422	48.3		A
423	48.4		A
424	48.5		A
425	48.6		A
426	48.7		A
427	48.8		A
428	48.9		A
429	49		A
430	49.1		A
431	49.2		A
432	49.3		A
433	49.4		A
434	49.5		A
435	49.6		A
436	49.7		A
437	49.8		A
438	49.9		A
439	50		A
440	50.1		A
441	50.2		C
442	50.4		A
443	50.5		A
444	50.6		A
445	50.7		A
446	50.8		A
447	50.9		C
448	51.1		A
449	51.2		A
450	51.3		A
451	51.4		C
452	51.6		A
453	51.7		C
454	51.9		C
455	52.1		A
456	52.2		A
457	52.3		A
458	52.4		C
459	52.6		A
460	52.7		A
461	52.8		A
462	52.9		C
463	53.1		A
464	53.2		C
465	53.4		A
466	53.5		C
467	53.7		A
468	53.8		A
469	53.9		B
470	54		A
471	54.1		A
472	54.2		A
473	54.3		A
474	54.4		A
475	54.5		C
476	54.7		A
477	54.8		A
478	54.9		A
479	55		A
480	55.1		A
481	55.2		A
482	55.3		A
483	55.4		C
484	55.6		A
485	55.7		A
486	55.8		A
487	55.9		A
488	56		C
489	56.2		A
490	56.3		C
491	56.5		A
492	56.6		C
493	56.8		A
494	56.9		A
495	57		A
496	57.1		A
497	57.2		A
498	57.3		A
499	57.4		A
500	57.5		A
501	57.6		A
502	57.7		A
503	57.8		A
504	57.9		A
505	58		A
506	58.1		A
507	58.2		A
508	58.3		A
509	58.4		A
510	58.5		A
511	58.6		A
512	58.7		A
513	58.8		A
514	58.9		A
515	59		A
516	59.1		A
517	59.2		A
518	59.3		A
519	59.4		A
520	59.5		B
521	59.6		A
522	59.7		A
523	59.8		A
524	59.9		A
525	60		A
526	60.1		A
527	60.2		A
528	60.3		B
529	60.4		A
530	60.5		A
531	60.6		A
532	60.7		A
533	60.8		A
534	60.9		A
535	61		A
536	61.1		A
537	61.2		B
538	61.3		C
539	61.5		C
540	61.7		A
541	61.8		A
542	61.9		B
543	62		A
544	62.1		A
545	62.2		A
546	62.3		A
547	62.4		C
548	62.6		B
549	62.7		A
550	62.8		A
551	62.9		A
552	63		A
553	63.1		A
554	63.2		A
555	63.3		A
556	63.4		A
557	63.5		A
558	63.6		A
559	63.7		A
560	63.8		C
561	64		A
562	64.1		A
563	64.2		A
564	64.3		A
565	64.4		A
566	64.5		C
567	64.7		A
568	64.8		A
569	64.9		A
570	65		A
571	65.1		A
572	65.2		C
573	65.4		A
574	65.5		A
575	65.6		B
576	65.7		A
577	65.8		A
578	65.9		A
579	66		A
580	66.1		A
581	66.2		A
582	66.3		A
583	66.4		A
584	66.5		A
585	66.6		A
586	66.7		A
587	66.8		C
588	67		A
589	67.1		A
590	67.2		A
591	67.3		A
592	67.4		C
593	67.6		A
594	67.7		A
595	67.8		A
596	67.9		A
597	68		A
598	68.1		A
599	68.2		A
600	68.3		A
601	68.4		A
602	68.5		A
603	68.6		A
604	68.7		C
605	68.9		A
606	69		A
607	69.1		A
608	69.2		A
609	69.3		A
610	69.4		A
611	69.5		A
612	69.6		C
613	69.8		A
614	69.9		C
615	70.1		A
616	70.2		A
617	70.3		A
618	70.4		A
619	70.5		A
620	70.6		A
621	70.7		A
622	70.8		A
623	70.9		C
624	71.1		C
625	71.3		A
626	71.4		A
627	71.5		A
628	71.6		A
629	71.7		A
630	71.8		A
631	71.9		A
632	72		C
633	72.2		C
634	72.4		A
635	72.5		C
636	72.7		A
637	72.8		A
638	72.9		A
639	73		A
640	73.1		A
641	73.2		A
642	73.3		A
643	73.4		A
644	73.5		C
645	73.7		A
646	73.8		A
647	73.9		A
648	74		A
649	74.1		A
650	74.2		A
651	74.3		A
652	74.4		A
653	74.5		A
654	74.6		A
655	74.7		A
656	74.8		A
657	74.9		A
658	75		A
659	75.1		A
660	75.2		A
661	75.3		A
662	75.4		C
663	75.6		A
664	75.7		A
665	75.8		A
666	75.9		A
667	76		C
668	76.2		A
669	76.3		C
670	76.5		C
671	76.7		A
672	76.8		B
673	76.9		A
674	77		A
675	77.1		A
676	77.2		A
677	77.3		A
678	77.4		A
679	77.5		A
680	77.6		A
681	77.7		A
682	77.8		A
683	77.9		A
684	78		A
685	78.1		C
686	78.3		A
687	78.4		A
688	78.5		A
689	78.6		A
690	78.7		A
691	78.8		A
692	78.9		C
693	79.1		A
694	79.2		A
695	79.3		A
696	79.4		C
697	79.6		A
698	79.7		A
699	79.8		C
700	80		C
701	80.2		A
702	80.3		B
703	80.4		A
704	80.5		C
705	80.7		A
706	80.8		C
707	81		B
708	81.1		A
709	81.2		A
710	81.3		B
711	81.4		A
712	81.5		A
713	81.6		A
714	81.7		B
715	81.8		C
716	82		C
717	82.2		A
718	82.3		A
719	82.4		A
720	82.5		A
721	82.6		C
722	82.8		A
723	82.9		B
724	83		C
725	83.2		A
726	83.3		A
727	83.4		A
728	83.5		C
729	83.7		A
730	83.8		B
731	83.9		A
732	84		A
733	84.1		A
734	84.2		A
735	84.3		A
736	84.4		A
737	84.5		B
738	84.6		A
739	84.7		C
740	84.9		A
741	85		A
742	85.1		A
743	85.2		A
744	85.3		A
745	85.4		A
746	85.5		A
747	85.6		A
748	85.7		A
749	85.8		A
750	85.9		A
751	86		B
752	86.1		C
753	86.3		A
754	86.4		A
755	86.5		A
756	86.6		A
757	86.7		A
758	86.8		C
759	87		A
760	87.1		B
761	87.2		A
762	87.3		A
763	87.4		A
764	87.5		A
765	87.6		A
766	87.7		A
767	87.8		A
768	87.9		A
769	88		A
770	88.1		A
771	88.2		A
772	88.3		A
773	88.4		A
774	88.5		C
775	88.7		A
776	88.8		A
777	88.9		C
778	89.1		C
779	89.3		B
780	89.4		A
781	89.5		C
782	89.7		A
783	89.8		C
784	90		A
785	90.1		A
786	90.2		C
787	90.4		C
788	90.6		A
789	90.7		A
790	90.8		A
791	90.9		A
792	91		A
793	91.1		A
794	91.2		C
795	91.4		A
796	91.5		A
797	91.6		A
798	91.7		A
799	91.8		A
800	91.9		A
