S/N 	 Start (s) 	 Note
1	0	3000Hz
2	0.4	1000Hz
7	1.4	3000Hz
8	1.6	1000Hz
13	2.6	3000Hz
14	3	1000Hz
15	3.2	3000Hz
16	3.4	1000Hz
20	4.2	3000Hz
21	4.4	1000Hz
30	6.2	3000Hz
31	6.4	1000Hz
33	6.8	3000Hz
34	7	1000Hz
36	7.4	3000Hz
37	7.6	1000Hz
41	8.4	3000Hz
42	8.6	1000Hz
44	9	3000Hz
45	9.4	1000Hz
46	9.6	3000Hz
47	10	1000Hz
50	10.6	3000Hz
51	10.8	1000Hz
62	13	3000Hz
63	13.2	1000Hz
67	14	3000Hz
68	14.4	1000Hz
69	14.6	3000Hz
70	14.8	1000Hz
71	15	3000Hz
72	15.4	1000Hz
76	16.2	3000Hz
79	17.4	1000Hz
89	19.4	3000Hz
90	19.8	1000Hz
93	20.4	3000Hz
94	20.8	1000Hz
107	23.4	3000Hz
108	23.6	1000Hz
110	24	3000Hz
111	24.4	1000Hz
114	25	3000Hz
115	25.4	1000Hz
127	27.8	3000Hz
128	28	1000Hz
141	30.6	3000Hz
142	30.8	1000Hz
143	31	3000Hz
144	31.4	3000Hz
145	31.6	1000Hz
147	32	3000Hz
148	32.2	1000Hz
151	32.8	3000Hz
152	33	1000Hz
158	34.2	3000Hz
159	34.6	1000Hz
161	35	3000Hz
162	35.2	1000Hz
166	36	3000Hz
167	36.2	1000Hz
178	38.4	3000Hz
179	38.8	1000Hz
187	40.4	3000Hz
188	40.6	1000Hz
192	41.4	3000Hz
193	41.8	1000Hz
195	42.2	3000Hz
196	42.6	1000Hz
198	43	3000Hz
199	43.2	1000Hz
201	43.6	3000Hz
202	44	1000Hz
204	44.4	3000Hz
206	44.8	1000Hz
208	45.2	3000Hz
209	45.4	1000Hz
216	46.8	3000Hz
217	47.2	1000Hz
225	48.8	3000Hz
226	49.2	1000Hz
232	50.4	3000Hz
233	50.8	1000Hz
236	51.4	3000Hz
237	51.6	1000Hz
239	52	3000Hz
240	52.4	3000Hz
241	52.6	1000Hz
242	52.8	3000Hz
243	53	1000Hz
246	53.6	3000Hz
247	54	1000Hz
256	55.8	3000Hz
257	56.2	1000Hz
