,,LogisticRegression,xgboost,SVC,DecisionTree,RandomForest,NaiveBayes,optimized
magnitude,accuracy,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.2222222222222222,0.2222222222222222
magnitude,precision,0.0,0.0,0.0,0.0,0.0,0.2,0.2
magnitude,recall,0.0,0.0,0.0,0.0,0.0,0.25,0.25
magnitude,f1,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.22222222222222224
phase,accuracy,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.5555555555555556
phase,precision,0.0,0.0,0.0,0.5,0.0,0.0,0.5
phase,recall,0.0,0.0,0.0,0.5,0.0,0.0,0.5
phase,f1,0.0,0.0,0.0,0.5,0.0,0.0,0.5
combined,accuracy,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.6666666666666666
combined,precision,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666
combined,recall,0.0,0.0,0.0,0.5,0.0,0.0,0.5
combined,f1,0.0,0.0,0.0,0.5714285714285715,0.0,0.0,0.5714285714285715
