,,LogisticRegression,xgboost,SVC,DecisionTree,RandomForest,NaiveBayes,MLPN,optimized NaiveBayes
rest1,accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.0
rest1,precision,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0
rest1,recall,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0
rest1,f1,0.4,0.4,0.4,0.3333333333333333,0.4,0.4,0.0,0.0
rest2,accuracy,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.6666666666666666
rest2,precision,0.3333333333333333,0.0,0.5,0.5,0.5,0.6666666666666666,0.0,0.6666666666666666
rest2,recall,0.25,0.0,0.25,0.5,0.25,0.5,0.0,0.5
rest2,f1,0.28571428571428575,0.0,0.3333333333333333,0.5,0.3333333333333333,0.5714285714285715,0.0,0.5714285714285715
arith,accuracy,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0
arith,precision,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
arith,recall,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
arith,f1,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
combined,accuracy,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666
combined,precision,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0
combined,recall,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
combined,f1,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4,0.0,0.4
