,,LogisticRegression,xgboost,SVC,DecisionTree,RandomForest,NaiveBayes,optimized
1KHz,accuracy,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4444444444444444
1KHz,precision,0.0,0.4,0.0,0.0,0.0,0.0,0.4
1KHz,recall,0.0,0.5,0.0,0.0,0.0,0.0,0.5
1KHz,f1,0.0,0.4444444444444445,0.0,0.0,0.0,0.0,0.4444444444444445
3KHz,accuracy,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.6666666666666666
3KHz,precision,0.0,0.0,0.0,0.2,0.0,0.0,0.5714285714285714
3KHz,recall,0.0,0.0,0.0,0.25,0.0,0.0,1.0
3KHz,f1,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.7272727272727273
combined,accuracy,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,
combined,precision,0.0,0.0,0.0,0.0,0.0,0.0,
combined,recall,0.0,0.0,0.0,0.0,0.0,0.0,
combined,f1,0.0,0.0,0.0,0.0,0.0,0.0,
